Name, Didn't do, Added, Processed, Pushed
Adafruit_CircuitPython_SI5351,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_SI5351
Adafruit_CircuitPython_SI7021,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_SI7021
Adafruit_CircuitPython_SimpleIO,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_SimpleIO
Adafruit_CircuitPython_Slideshow,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_Slideshow
Adafruit_CircuitPython_SSD1305,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_SSD1305
Adafruit_CircuitPython_SSD1306,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_SSD1306
Adafruit_CircuitPython_SSD1322,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_SSD1322
Adafruit_CircuitPython_SSD1325,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_SSD1325
Adafruit_CircuitPython_SSD1327,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_SSD1327
Adafruit_CircuitPython_SSD1331,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_SSD1331
Adafruit_CircuitPython_SSD1351,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_SSD1351
Adafruit_CircuitPython_SSD1608,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_SSD1608
Adafruit_CircuitPython_SSD1675,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_SSD1675
Adafruit_CircuitPython_ST7735,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_ST7735
Adafruit_CircuitPython_ST7735R,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_ST7735R
Adafruit_CircuitPython_ST7789,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_ST7789
Adafruit_CircuitPython_STMPE610,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_STMPE610
Adafruit_CircuitPython_TCA9548A,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_TCA9548A
Adafruit_CircuitPython_TCS34725,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_TCS34725
Adafruit_CircuitPython_TFmini,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_TFmini
Adafruit_CircuitPython_Thermal_Printer,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_Thermal_Printer
Adafruit_CircuitPython_Thermistor,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_Thermistor
Adafruit_CircuitPython_TinyLoRa,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_TinyLoRa
Adafruit_CircuitPython_TLC5947,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_TLC5947
Adafruit_CircuitPython_TLC59711,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_TLC59711
Adafruit_CircuitPython_TLV493D,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_TLV493D
Adafruit_CircuitPython_TMP006,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_TMP006
Adafruit_CircuitPython_TMP007,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_TMP007
Adafruit_CircuitPython_Touchscreen,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_Touchscreen
Adafruit_CircuitPython_TPA2016,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_TPA2016
Adafruit_CircuitPython_Trellis,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_Trellis
Adafruit_CircuitPython_TrellisM4,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_TrellisM4
Adafruit_CircuitPython_TSL2561,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_TSL2561
Adafruit_CircuitPython_TSL2591,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_TSL2591
Adafruit_CircuitPython_turtle,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_turtle
Adafruit_CircuitPython_US100,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_US100
Adafruit_CircuitPython_VC0706,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_VC0706
Adafruit_CircuitPython_VCNL4010,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_VCNL4010
Adafruit_CircuitPython_VCNL4040,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_VCNL4040
Adafruit_CircuitPython_VEML6070,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_VEML6070
Adafruit_CircuitPython_VEML6075,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_VEML6075
Adafruit_CircuitPython_VEML7700,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_VEML7700
Adafruit_CircuitPython_VL53L0X,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_VL53L0X
Adafruit_CircuitPython_VL6180X,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_VL6180X
Adafruit_CircuitPython_VS1053,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_VS1053
Adafruit_CircuitPython_Waveform,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_Waveform
Adafruit_CircuitPython_WS2801,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_WS2801
